chunk_idx,document_id,cosine
80,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
81,ed413eb8-bafb-4f68-bdac-9cf8cd73ee0f,1.0
82,ed413eb8-bafb-4f68-bdac-9cf8cd73ee0f,0.999999
83,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,0.999999
84,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
85,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
86,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,0.999999
87,f9041687-3020-4fcc-809e-1aea5f3bbde3,1.0
88,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,0.999997
89,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
90,88039f1b-db41-4c7b-949c-dc60662b61a3,0.999999
91,ed413eb8-bafb-4f68-bdac-9cf8cd73ee0f,1.0
92,d77e32f2-f5e4-4ab0-98be-b635338db4b8,1.0
93,d032750b-a052-424f-ac02-8e3f373bf045,0.999999
94,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
95,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
96,bcbedf40-f904-46db-b738-dd7f168a3cb1,1.0
97,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
98,5d8422e3-1d76-48c7-baf9-3c389be15738,0.999999
99,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,1.0
100,6ddca1d1-a79f-40e5-a17d-c12c67e9100b,1.0
101,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
102,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999998
103,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
104,5d8422e3-1d76-48c7-baf9-3c389be15738,1.0
105,d032750b-a052-424f-ac02-8e3f373bf045,1.0
106,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999999
107,f9041687-3020-4fcc-809e-1aea5f3bbde3,1.0
108,d77e32f2-f5e4-4ab0-98be-b635338db4b8,0.999992
109,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
110,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999998
111,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
112,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
113,bcbedf40-f904-46db-b738-dd7f168a3cb1,0.999999
114,29649729-03a0-40d6-b4f5-18cc82149aa2,1.0
115,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
116,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
117,f9041687-3020-4fcc-809e-1aea5f3bbde3,1.0
118,5d8422e3-1d76-48c7-baf9-3c389be15738,0.999998
119,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,0.999999
120,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
121,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999997
122,88039f1b-db41-4c7b-949c-dc60662b61a3,0.999999
123,bcbedf40-f904-46db-b738-dd7f168a3cb1,0.999996
124,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
125,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
126,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
127,29649729-03a0-40d6-b4f5-18cc82149aa2,0.999998
128,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,0.999998
129,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
130,d032750b-a052-424f-ac02-8e3f373bf045,0.999996
131,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
132,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
133,d77e32f2-f5e4-4ab0-98be-b635338db4b8,0.999999
134,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
135,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,0.999999
136,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,1.0
137,ed413eb8-bafb-4f68-bdac-9cf8cd73ee0f,0.999996
138,5d8422e3-1d76-48c7-baf9-3c389be15738,1.0
139,6ddca1d1-a79f-40e5-a17d-c12c67e9100b,0.999999
140,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
141,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,0.999999
142,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,0.999999
143,5d8422e3-1d76-48c7-baf9-3c389be15738,0.999999
144,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999979
145,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
146,2575a5c0-191f-48d7-adc3-dbfe51d18f70,1.0
147,5d8422e3-1d76-48c7-baf9-3c389be15738,0.999998
148,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
149,f9041687-3020-4fcc-809e-1aea5f3bbde3,0.999994
150,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
151,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.999999
152,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999998
153,6ddca1d1-a79f-40e5-a17d-c12c67e9100b,1.0
154,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.999995
155,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
156,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
157,d032750b-a052-424f-ac02-8e3f373bf045,0.999999
158,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
159,4bbaa98d-16e3-47f9-b638-db59a89fd0d0,0.999998
160,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
161,88039f1b-db41-4c7b-949c-dc60662b61a3,0.999999
162,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
163,6ddca1d1-a79f-40e5-a17d-c12c67e9100b,1.0
164,29649729-03a0-40d6-b4f5-18cc82149aa2,1.0
165,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,1.0
166,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,0.999999
167,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999998
168,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
169,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,1.0
170,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
171,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,1.0
172,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
173,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
174,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
175,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
176,d77e32f2-f5e4-4ab0-98be-b635338db4b8,0.999999
177,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
178,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.999998
179,4ad69286-e9c3-42b2-8f8e-94b79514dcf1,1.0
180,29649729-03a0-40d6-b4f5-18cc82149aa2,1.0
181,ead40ca0-aeb1-40f6-a028-206307d13c6d,1.0
182,d61cb3eb-69d4-4782-b761-0ad6c4c67e90,0.999999
183,4c49b3e9-c874-417b-b0a8-d9ba5b913ac7,0.999999
184,88039f1b-db41-4c7b-949c-dc60662b61a3,1.0
185,ead40ca0-aeb1-40f6-a028-206307d13c6d,0.999999
186,2575a5c0-191f-48d7-adc3-dbfe51d18f70,0.999998
187,d032750b-a052-424f-ac02-8e3f373bf045,0.999999
